country,iso3,year,interest,inflation,ratio
Brunei Darussalam,BRN,2023,21.0518334075002,0.35706431153689,58.95810006014907
China,CHN,2023,4.88038486696444,0.234836828893051,20.78202507659928
Costa Rica,CRI,2023,9.19254167516483,0.525193508693455,17.503151739315065
Guyana,GUY,2023,26.1442166832254,2.82110335099641,9.267372878767912
Brazil,BRA,2023,36.5544706219779,4.59356282283204,7.957760028944418
Qatar,QAT,2023,19.1951159471819,3.02764899198902,6.339940989847582
Papua New Guinea,PNG,2023,13.259708711892,2.29869991296791,5.7683513350692435
Armenia,ARM,2023,9.45938580104027,1.98041877615554,4.776457340706075
Trinidad and Tobago,TTO,2023,22.0501919924171,4.62930242419968,4.763178114514558
Timor-Leste,TLS,2023,39.8510634501201,8.42035103310377,4.732708089419267
